Event	ID	Name			Wwise Object Path	Notes
	273706790	IslandAmbience			\Default Work Unit\IslandAmbience	
	376462290	Sea			\Default Work Unit\Sea	
	1853775347	M16			\Default Work Unit\Weapons\M16	
	2314377922	BarrelExplosion			\Default Work Unit\BarrelExplosion	
	2385628198	Footsteps			\Default Work Unit\Footsteps	
	2548270042	Landing			\Default Work Unit\Landing	
	3833651337	Jump			\Default Work Unit\Jump	

Switch Group	ID	Name			Wwise Object Path	Notes
	2828982534	WeaponEnvType			\Default Work Unit\WeaponEnvType	
	4040317175	Ground_Type			\Default Work Unit\Ground_Type	

Switch	ID	Name	Switch Group			Notes
	513139656	Mountain	WeaponEnvType			
	630539344	Dry	WeaponEnvType			
	2507524830	CaseDrop	WeaponEnvType			
	3122859639	Tail	WeaponEnvType			
	4073099416	TailCaseDrop	WeaponEnvType			
	630539344	Dry	Ground_Type			
	803837735	Sand	Ground_Type			
	1181096339	Wet	Ground_Type			
	2058049674	Wood	Ground_Type			

State Group	ID	Name			Wwise Object Path	Notes
	3410854739	InsideFilter			\Default Work Unit\InsideFilter	

State	ID	Name	State Group			Notes
	0	None	InsideFilter			
	930712164	Off	InsideFilter			
	1651971902	On	InsideFilter			

Custom State	ID	Name	State Group	Owner		Notes
	129644589	On	InsideFilter	\Actor-Mixer Hierarchy\Default Work Unit\Environment\IslandEnvironment\Palms+Wind		
	269624470	On	InsideFilter	\Actor-Mixer Hierarchy\Default Work Unit\Environment\IslandEnvironment\Birds		
	686634156	On	InsideFilter	\Actor-Mixer Hierarchy\Default Work Unit\Environment\IslandEnvironment\Emiters\Sea		

Effect plug-ins	ID	Name	Type				Notes
	1008402193	Low_Pass_20KHz	Wwise Parametric EQ			
	3604890626	High_Pass_60Hz	Wwise Parametric EQ			

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	346991975	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\Environment\IslandEnvironment\Birds\New Sound SFX\Wwise Silence	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	50178588	Footstep_Wood02	Y:\Documents\GitHub\DarkCity\DarkCity-main_WwiseProject\.cache\Windows\SFX\Footstep_Wood02_A96FB3F1.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main Character\Footsteps\FS_Wood\Heel\Footstep_Wood02		31872
	64293849	Footstep_Wood02	Y:\Documents\GitHub\DarkCity\DarkCity-main_WwiseProject\.cache\Windows\SFX\Footstep_Wood02_E3391B84.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main Character\Footsteps\FS_Wood\Toe\Footstep_Wood02		56764
	84503737	Bird6	Y:\Documents\GitHub\DarkCity\DarkCity-main_WwiseProject\.cache\Windows\SFX\Bird6_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment\IslandEnvironment\Birds\Bird6		392908
	110661525	Bird5	Y:\Documents\GitHub\DarkCity\DarkCity-main_WwiseProject\.cache\Windows\SFX\Bird5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment\IslandEnvironment\Birds\Bird5		103476
